Carbon;Nitrogen;Sex;Site;;;;;;;
-13.067116;14.034398;Female;Itapeva;;;;;;;
-13.2072944;14.096042;Male;Itapeva;;;;;;;
-13.6646648;13.8063152;Male;Itapeva;;;;;;;
-14.276503;14.8682371;Male;Itapeva;;;;;;;
-14.745601;14.0976718;Male;Itapeva;;;;;;;
-15.33493;13.8072838;Female;Itapeva;;;;;;;
-14.7544705;14.1899737;Female;Itapeva;;;;;;;
-14.869774;12.8770051;Female;Itapeva;;;;;;;
-15.068845;12.1894078;Female;Itapeva;;;;;;;
-15.2058;13.52635;Female;Itapeva;;;;;;;
-15.3046;13.58261;Female;Itapeva;;;;;;;
-15.2423;13.70739;Male;Itapeva;;;;;;;
-15.1959;13.47214;Male;Itapeva;;;;;;;
-15.0151;14.21777;Female;Itapeva;;;;;;;
-15.3016;13.97741;Male;Itapeva;;;;;;;
-15.4043;13.76671;Female;Itapeva;;;;;;;
-15.0931;13.99275;Male;Itapeva;;;;;;;
-14.7552;13.99991;Female;Itapeva;;;;;;;
-13.693087;11.7590113;Female;Lagoa do Peixe;;;;;;;
-13.866535;11.3317261;Male;Lagoa do Peixe;;;;;;;
-13.8497815;12.3273421;Female;Lagoa do Peixe;;;;;;;
-13.9365055;11.9861362;Female;Lagoa do Peixe;;;;;;;
-13.622131;12.388531;Male;Lagoa do Peixe;;;;;;;
-14.19175;12.7774435;Male;Lagoa do Peixe;;;;;;;
-14.0409685;12.0856978;Female;Lagoa do Peixe;;;;;;;
-14.4607915;11.5868527;Male;Lagoa do Peixe;;;;;;;
-14.258764;11.4292135;Male;Lagoa do Peixe;;;;;;;
-14.138533;12.0307315;Female;Lagoa do Peixe;;;;;;;
-14.0961565;10.9438507;Male;Lagoa do Peixe;;;;;;;
-13.894129;11.7268612;Female;Lagoa do Peixe;;;;;;;
-13.8364;13.00063;Male;Lagoa do Peixe;;;;;;;
-13.6892;13.3402;Female;Lagoa do Peixe;;;;;;;
-13.7139;13.07632;Male;Lagoa do Peixe;;;;;;;
-13.6082;13.107;Female;Lagoa do Peixe;;;;;;;
-13.7336;12.75925;Male;Lagoa do Peixe;;;;;;;
-13.5864;13.27065;Male;Lagoa do Peixe;;;;;;;
-13.4837;12.97813;Female;Lagoa do Peixe;;;;;;;
-13.8364;12.82471;Female;Lagoa do Peixe;;;;;;;
-14.1644;12.89835;Male;Lagoa do Peixe;;;;;;;
-13.051768;13.1703546;Female;Passo de Torres;;;;;;;
-13.2236656;12.5025446;Female;Passo de Torres;;;;;;;
-13.0476752;12.6545998;Female;Passo de Torres;;;;;;;
-13.03642;13.1035736;Male;Passo de Torres;;;;;;;
-13.0118632;13.0593954;Female;Passo de Torres;;;;;;;
-13.2021784;12.8724086;Male;Passo de Torres;;;;;;;
-13.2594776;13.5083692;Male;Passo de Torres;;;;;;;
-14.1198085;14.9667616;Male;Passo de Torres;;;;;;;
-14.38885;14.2428658;Female;Passo de Torres;;;;;;;
-16.3829466;9.2196328;Female;Praia Grande;;;;;;;
-13.8294;12.750148;Female;Praia Grande;;;;;;;
-14.7768832;12.3515168;Male;Praia Grande;;;;;;;
-14.330768;12.4748048;Male;Praia Grande;;;;;;;
-14.1199888;12.3936402;Female;Praia Grande;;;;;;;
-15.8021972;8.9641912;Male;Praia Grande;;;;;;;
-13.7256085;14.1121912;Female;Praia Grande;;;;;;;
-13.7485672;14.3076864;Female;Praia Grande;;;;;;;
-13.2635704;14.1915902;Male;Praia Grande;;;;;;;
-13.435468;13.7385068;Female;Praia Grande;;;;;;;
-13.5920176;13.3388482;Male;Praia Grande;;;;;;;
-13.1899;13.5998078;Female;Praia Grande;;;;;;;
-13.4620712;13.8104248;Female;Praia Grande;;;;;;;
-13.742428;13.4159032;Male;Praia Grande;;;;;;;
-14.0094832;12.755285;Female;Praia Grande;;;;;;;
-13.6646648;13.1847382;Female;Praia Grande;;;;;;;
-13.819168;12.4295992;Female;Praia Grande;;;;;;;
-13.3423568;13.063505;Male;Praia Grande;;;;;;;
-13.8590728;11.799803;Male;Praia Grande;;;;;;;
-13.686152;12.1306258;Male;Praia Grande;;;;;;;
-15.7478545;12.1136995;Female;Praia Grande;;;;;;;
-15.084613;12.8002597;Male;Praia Grande;;;;;;;
-15.291568;12.3242308;Male;Praia Grande;;;;;;;
-15.973534;12.8396695;Male;Praia Grande;;;;;;;
-15.5822905;13.2119884;Female;Praia Grande;;;;;;;
-16.1420545;11.2622404;Female;Praia Grande;;;;;;;
-15.055048;11.0807479;Male;Praia Grande;;;;;;;
-14.9180635;11.2197193;Male;Praia Grande;;;;;;;
-15.210757;12.2889694;Male;Praia Grande;;;;;;;
-15.5437;13.19394;Male;Praia Grande;;;;;;;
-14.7898;12.32865;Female;Praia Grande;;;;;;;
-15.1633;13.19701;Female;Praia Grande;;;;;;;
-15.2433;12.99654;Male;Praia Grande;;;;;;;
-14.6367;13.49158;Female;Praia Grande;;;;;;;
-14.9222;13.107;Male;Praia Grande;;;;;;;
-15.0408;12.99245;Female;Praia Grande;;;;;;;
-14.6278;10.83741;Male;Praia Grande;;;;;;;
-14.9963;13.58261;Female;Praia Grande;;;;;;;
-14.9341;12.972;Male;Praia Grande;;;;;;;
-14.4253135;14.0323345;Female;Praia Grande;;;;;;;
-14.773195;14.5519216;Male;Praia Grande;;;;;;;
-14.434183;12.4331263;Female;Praia Grande;;;;;;;
