Local;Ponto;E_brasiliensis;D_hanleyanus;A_mactroides;Anfipodas;E_armata;Poliquetas
PG19;P1;25;0;0;0;3;0
PG19;P2;9;2;7;262;0;0
PG19;P3;16;0;19;6;14;0
PG19;P4;32;0;13;4;15;0
PG19;P5;0;0;9;0;57;0
PG19;P6;1;0;1;0;34;0
PG19;P7;18;2;24;11;3;0
PG19;P8;12;0;14;8;17;0
PG19;P9;53;0;12;13;4;0
PG19;P10;0;0;0;0;29;0
PG20;P1;23;26;0;10;0;0
PG20;P2;45;6;0;13;0;0
PG20;P3;71;55;1;2;4;1
PG20;P4;27;85;2;4;2;1
PG20;P5;156;8;5;13;1;0
PG20;P6;41;18;5;7;5;0
PG20;P7;76;11;11;4;0;0
PG20;P8;4;55;0;14;0;0
PG20;P9;29;12;0;12;2;1
PG20;P10;75;4;3;17;3;0
ITA19;P1;16;0;28;6;4;0
ITA19;P2;51;1;4;2;10;1
ITA19;P3;42;8;3;47;8;1
ITA19;P4;60;0;0;10;4;0
ITA19;P5;33;0;0;12;10;0
ITA19;P6;1;0;2;0;24;0
ITA19;P7;12;6;0;42;6;0
ITA19;P8;7;0;0;3;23;0
ITA19;P9;9;1;5;6;6;0
ITA19;P10;40;8;3;196;8;0
ITA20;P1;2;1;0;10;0;0
ITA20;P2;61;0;9;28;7;0
ITA20;P3;255;116;2;10;1;0
ITA20;P4;101;1;1;57;6;0
ITA20;P5;35;17;0;10;3;0
ITA20;P6;191;1;0;40;2;0
ITA20;P7;52;2;4;40;8;0
ITA20;P8;57;0;0;128;6;0
ITA20;P9;8;78;0;17;2;0
ITA20;P10;10;7;2;106;0;0
CB19;P1;1;1;12;13;3;1
CB19;P2;0;1;46;18;4;0
CB19;P3;0;0;16;1;9;0
CB19;P4;4;1;10;51;0;1
CB19;P5;0;3;81;38;5;0
CB19;P6;0;1;3;60;20;0
CB19;P7;3;3;13;88;5;0
CB19;P8;8;12;71;68;15;0
CB19;P9;0;2;84;34;12;1
CB19;P10;6;0;3;52;11;0
LP19;P1;0;13;9;11;0;0
LP19;P2;0;0;15;54;0;3
LP19;P3;0;0;13;8;0;0
LP19;P4;0;0;1;20;0;0
LP19;P5;0;15;0;17;0;0
LP19;P6;4;0;2;26;0;0
LP19;P7;0;19;2;20;1;0
LP19;P8;1;0;2;22;0;2
LP19;P9;2;42;0;13;0;2
LP19;P10;0;82;0;19;0;0
LP20;P1;176;81;14;57;0;0
LP20;P2;68;8;36;103;0;0
LP20;P3;34;29;17;285.5;0;1
LP20;P4;117;25;54;172.5;0;1
LP20;P5;86;74;0;111;0;0
LP20;P6;28;6;22;138;0;0
LP20;P7;150;4;2;95;0;2
LP20;P8;172;104;11;153.5;1;1
LP20;P9;166;48;16;56;1;1
LP20;P10;65;2;4;155;0;1
;;2847;1107;748;3129.5;418;22
