Season;Site;Sex;d15N;d13C
2018;Praia Grande;Female;9.2196328;-16.3829466
2018;Praia Grande;Female;12.750148;-13.8294
2018;Praia Grande;Male;12.3515168;-14.7768832
2018;Praia Grande;Male;12.4748048;-14.330768
2018;Praia Grande;Female;12.3936402;-14.1199888
2018;Praia Grande;Male;8.9641912;-15.8021972
2019;Praia Grande;Female;14.1121912;-13.7256085
2019;Praia Grande;Female;14.3076864;-13.7485672
2019;Praia Grande;Male;14.1915902;-13.2635704
2019;Praia Grande;Female;13.7385068;-13.435468
2019;Praia Grande;Male;13.3388482;-13.5920176
2019;Praia Grande;Female;13.5998078;-13.1899
2019;Praia Grande;Female;13.8104248;-13.4620712
2019;Itapeva;Female;14.034398;-13.067116
2019;Itapeva;Male;14.096042;-13.2072944
2019;Itapeva;Male;13.8063152;-13.6646648
2019;Passo de Torres;Female;13.1703546;-13.051768
2019;Passo de Torres;Female;12.5025446;-13.2236656
2019;Passo de Torres;Female;12.6545998;-13.0476752
2019;Passo de Torres;Male;13.1035736;-13.03642
2019;Praia Grande;Male;13.4159032;-13.742428
2019;Praia Grande;Female;12.755285;-14.0094832
2019;Passo de Torres;Female;13.0593954;-13.0118632
2019;Passo de Torres;Male;12.8724086;-13.2021784
2019;Passo de Torres;Male;13.5083692;-13.2594776
2019;Praia Grande;Female;13.1847382;-13.6646648
2019;Praia Grande;Female;12.4295992;-13.819168
2019;Praia Grande;Male;13.063505;-13.3423568
2019;Praia Grande;Male;11.799803;-13.8590728
2019;Praia Grande;Male;12.1306258;-13.686152
2020;Passo de Torres;Male;14.9667616;-14.1198085
2020;Passo de Torres;Female;14.2428658;-14.38885
2020;Itapeva;Male;14.8682371;-14.276503
2020;Itapeva;Male;14.0976718;-14.745601
2020;Praia Grande;Female;12.1136995;-15.7478545
2020;Praia Grande;Male;12.8002597;-15.084613
2020;Praia Grande;Male;12.3242308;-15.291568
2020;Itapeva;Female;13.8072838;-15.33493
2020;Itapeva;Female;14.1899737;-14.7544705
2020;Praia Grande;Male;12.8396695;-15.973534
2020;Praia Grande;Female;13.2119884;-15.5822905
2020;Praia Grande;Female;11.2622404;-16.1420545
2020;Lagoa do Peixe;Female;11.7590113;-13.693087
2020;Lagoa do Peixe;Male;11.3317261;-13.866535
2020;Lagoa do Peixe;Female;12.3273421;-13.8497815
2020;Lagoa do Peixe;Female;11.9861362;-13.9365055
2020;Lagoa do Peixe;Male;12.388531;-13.622131
2020;Lagoa do Peixe;Male;12.7774435;-14.19175
2020;Lagoa do Peixe;Female;12.0856978;-14.0409685
2020;Lagoa do Peixe;Male;11.5868527;-14.4607915
2020;Lagoa do Peixe;Male;11.4292135;-14.258764
2020;Lagoa do Peixe;Female;12.0307315;-14.138533
2020;Lagoa do Peixe;Male;10.9438507;-14.0961565
2020;Lagoa do Peixe;Female;11.7268612;-13.894129
2020;Praia das Cabras;Female;12.7587757;-14.319865
2020;Praia das Cabras;Male;13.0968703;-14.2873435
2020;Praia Grande;Male;11.0807479;-15.055048
2020;Praia Grande;Male;11.2197193;-14.9180635
2020;Praia Grande;Male;12.2889694;-15.210757
2020;Itapeva;Female;12.8770051;-14.869774
2020;Itapeva;Female;12.1894078;-15.068845
2020;Itapeva;Female;13.52635;-15.2058
2020;Itapeva;Female;13.58261;-15.3046
2020;Itapeva;Male;13.70739;-15.2423
2020;Itapeva;Male;13.47214;-15.1959
2020;Praia Grande;Male;13.19394;-15.5437
2020;Itapeva;Female;14.21777;-15.0151
2020;Itapeva;Male;13.97741;-15.3016
2020;Itapeva;Female;13.76671;-15.4043
2020;Itapeva;Male;13.99275;-15.0931
2020;Itapeva;Female;13.99991;-14.7552
2021;Praia Grande;Female;12.32865;-14.7898
2021;Praia Grande;Female;13.19701;-15.1633
2021;Praia Grande;Male;12.99654;-15.2433
2021;Praia Grande;Female;13.49158;-14.6367
2021;Praia Grande;Male;13.107;-14.9222
2021;Praia Grande;Female;12.99245;-15.0408
2021;Praia Grande;Male;10.83741;-14.6278
2021;Praia Grande;Female;13.58261;-14.9963
2021;Praia Grande;Male;12.972;-14.9341
2021;Lagoa do Peixe;Male;13.00063;-13.8364
2021;Lagoa do Peixe;Female;13.3402;-13.6892
2021;Lagoa do Peixe;Male;13.07632;-13.7139
2021;Lagoa do Peixe;Female;13.107;-13.6082
2021;Lagoa do Peixe;Male;12.75925;-13.7336
2021;Lagoa do Peixe;Male;13.27065;-13.5864
2021;Lagoa do Peixe;Female;12.97813;-13.4837
2021;Lagoa do Peixe;Female;12.82471;-13.8364
2021;Lagoa do Peixe;Male;12.89835;-14.1644
2020;Praia das Cabras;Male;13.7243158;-14.7544705
2020;Praia das Cabras;Female;13.2949564;-14.258764
2020;Praia Grande;Female;14.0323345;-14.4253135
2020;Praia Grande;Male;14.5519216;-14.773195
2020;Praia Grande;Female;12.4331263;-14.434183
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
